order_id,order_date,customer_id,region,category,product,quantity,unit_price,revenue,cost,profit,customer_feedback
ORD01208,2024-02-05,CUST0164,North,Beauty,Face Serum,3,211.51,634.53,462.56,171.97,"Excellent value for money, will buy again."
ORD00827,2024-02-25,CUST0274,North,Home & Kitchen,Air Fryer,2,246.87,493.74,238.72,255.02,"Great quality and fast delivery, highly recommend."
ORD00962,2024-02-28,CUST0133,West,Beauty,Perfume,5,347.28,1736.4,1096.08,640.32,Bad customer support and low quality product.
ORD00084,2024-03-15,CUST0034,South,Sports,Yoga Mat,5,329.2,1646.0,1150.43,495.57,"Great quality and fast delivery, highly recommend."
ORD00378,2024-03-18,CUST0030,East,Beauty,Lipstick,2,451.87,903.74,461.85,441.89,"Very satisfied with the purchase, five stars."
ORD01118,2024-03-30,CUST0069,North,Home & Kitchen,Air Fryer,4,17.67,70.68,51.61,19.07,"Terrible experience, delivery was late and item was damaged."
ORD00245,2024-04-02,CUST0222,North,Home & Kitchen,Blender,4,41.6,166.4,118.67,47.73,Bad customer support and low quality product.
ORD00838,2024-04-09,CUST0066,West,Electronics,Bluetooth Speaker,1,468.06,468.06,327.87,140.19,Bad customer support and low quality product.
ORD00459,2024-04-10,CUST0121,North,Apparel,Hoodie,3,29.3,87.9,54.69,33.21,"Superb build quality, exceeded my expectations."
ORD00727,2024-04-10,CUST0153,North,Home & Kitchen,Vacuum Cleaner,1,357.56,357.56,163.17,194.39,"Very satisfied with the purchase, five stars."
ORD00499,2024-04-17,CUST0320,West,Apparel,Denim Jacket,1,470.85,470.85,303.52,167.33,"Very disappointed, the product broke in a week."
ORD00764,2024-04-20,CUST0099,East,Electronics,Bluetooth Speaker,3,496.0,1488.0,788.39,699.61,"Very disappointed, the product broke in a week."
ORD01387,2024-04-20,CUST0016,South,Sports,Dumbbell Set,3,187.93,563.79,414.66,149.13,"Very disappointed, the product broke in a week."
